comment_id,comment_text,language;
6926244632611602437,I’ve never replayed a video so much,en;
7642573151024628488,[Sticker] me:,sticker;
7619497589889467159,i didn’t even need to read the bio to believe it i was already thinking it,en;
7496165632699237142,😂😂😂 I'm easily amused 👀😂❤️❤️,en;
7608267264773341970,I need romantic bestie,en;
"7579442060982600464,""yo 10 veces, doble para cada una🗣"",en;,,";
6940816380376137733,It you want to try it just put unflavored gelatin in water. About the same texture,en;
7590866239284544276,[Sticker] La calabazaaaaa!!!,sticker;
7561889031966802710,i saw this vid then i wanted to look is there any jump scares but i saw the dog was coming so o didn't get any goose bumps,en;
7176496359573553963,He acted like her so perfectly,en;
7017311358702273285,Bro made it in the lab then put it in the wild saying that they belong there cmon man 😅,en;
7574895600278274817,This is the reason people ARENT coming here,en;
"7642107471696691982,""Okay. Why are we hating on an idol. First of all, humans cry. Second of all, fans shouldn’t be throwing things at them. And third of all, what has she done to you? Like leave her alone"",en;,,";
7338354916887216902,The last cup is caterefe,en;
7612710982783337232,[Sticker] muhehehehe,sticker;
6940781555481133062,don't mind me just learning to count,en;
"7235939685494260506,""If I did this with all my friends, we just look like we belong in a prison"",en;,,";
7632057958399197985,[Sticker] R,sticker;
7300821596784575274,i need 3days😂,en;
6940782140053766149,b0ost : what’s your birthday ?,en;
7215380847846982402,Excuse Me 😎 You now have my Attention ❤️,en;
"7629397314055209750,""Moi je pense qu’ils auraient dû faire un concept où ceux qui ont besoin du crous à 1€ le demandent ,parce qu’il y en a qui n’en ont pas besoin et qui s’en passeraient"",fr;,,";
7609823597335790366,Absolutely Beautiful and very Pretty ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,en;
7402631971220308742,why no one talking about the flash on the camera😭,en;
7620395656260174614,Do you post every day? Tryna keep up 😅,en;
7173795020343001861,Bro drinking speed potions before the game,en;
7553578838150071047,its ok.its your daily homework😁😂😂😂,en;
7259538642774164225,No but her question still stands,fr;
"7034686303979913990,""Giving you these 🧿🧿🧿🧿 because you’ve been getting a lotttttt of comments, just to ward off the negativity"",en;,,";
7640899936016794390,i searched up fyp...,en;
7609352334691435278,One with the. Black shirt,en;
7618844682839573270,how did you learn this?,en;
7624492824785322773,[Sticker] They Ocean Meme,sticker;
7642791098235306765,It was literally so good grow up 😭,en;
7079894913269613354,What! How could be real!!,en;
7641443674843185928,Self improvement makes me the happiest,en;
7123997959427490566,de le monsieur adorable je l'aime bien j'allais me love il parle pas pour moi moi je m'appelle Aya et moi je m'appelle Aya il connaît rien de moi j'ha,fr;
7642107692970246926,[Sticker] Me when they ask abt it,sticker;
7391006745298830085,Why would you even go out in this weather?,en;
7643060451764601620,[Sticker] I guess we're all online rn.,sticker;
7612196941575766787,I swear i was staring respectfully😐,en;
7640895911522566933,Watch my last vedio to the last…,en;
7160819496739947269,Elle me fait de la peine… faites la percer les garssss !!,fr;
"7629845226228433695,""Chaque état est un pays. Je vis aux USA depuis 10 ans, et chaque annee ma femme et moi on va en vacances dans un état different. Je n’ai jamais senti la necessite de quitter le pays."",fr;,,";
7547951530859971350,Nature is beautiful ❤️,en;
7643007573620917010,[Sticker] Attendance list of those who watched the video on Saturday,sticker;
7562887168810566420,location?,fr;
7640195270710608654,felicitation,fr;
7642232361786147615,Why this on my fyp in 2026✌️😭🥀🥀🥀,en;
7577451267062448904,I would volunteer to be the Arabian,en;
7642791444528612127,[Sticker] How? The teacher is at your house???,sticker;
7617950053319820052,hola hermosura saludos y besitos cuidate mucho éxito en tu día bebé 🥰😘😱,fr;
7643019544982586144,[Sticker] Bro didn't finish watching the video,sticker;
7637495075132965633,[Sticker] I don't care,sticker;
7439087553498923798,what core is this😭🙏,en;
7637538084553098006,I accidentally clicked for you page😭,en;
7640799811189392149,i literally just searched foryou by accidentally pressing the hashtag🥀,en;
7550392767325504278,„I need you to cover your ears honey “,en;
7521884024434328326,not me and u having the same pink suit 🥺❤️,en;
"7051886699337188097,""The """"sImPpPpppp"""""",en;,,";
7080070774455354158,You don't see that every day. 🙄,en;
7445731553974682399,Uhm so this is really bad cause my fyp is a mix between both but the good part is it’s mainly about the faith side so that’s good,en;
"Courage à tout nos jeunes…❤️🙏🏼"",fr;,,";
7601539406662828830,Tu a raison ça fait 3ans que je vie au usa je n’ai aucun amis américains,fr;
"7629376333555368726,""Ça c'est une révolution, ça aidera vraiment les étudiants"",fr;,,";
